unique_id,ds,y,Open,High,Low,Close,Volume,SMA_7,SMA_30,RSI_14,MACD,BB_Width,Volume_Zscore,Pct_Change,log_return,log_return_lag1,log_return_lag2,rolling_vol_5,rolling_vol_20,trend_up,strong_momentum,range_20,pos_in_range,abs_return,intraday_range,ATR_14,SP500_Close,SP500_log_return,SP500_SMA_30,SP500_RSI_14,DXY_Close,DXY_Log_Return,VIX_Close,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA7,GPRD_MA30,direction_change,CPI,Unemployment_Rate,Fed_Funds_Rate,IPI,M2,M1,Consumer_Sentiment,1Y_Treasury_Rate,Housing_Starts,House_Price_Index,GDP_Quarterly,Net_Exports_GS,Balance_Trade
silver,2000-07-11,0.013,5.05,5.06,5.005,5.01,6960.0,5.047142857,5.030666667,46.06205251,-0.00262003394,0.1708769948,-0.7231849038,-0.8509796161,-0.008546211213,0.003965898516,-0.003965898516,0.09440110817,0.112191442,0,0,0.205,0.3658536585,0.043,0.055,0.05828571429,1480.88,0.003558265212,1460.466333,51.46909828,107.06,0.00140206594,20.11,45.6,32.47,48.75,58.13,56.19,-1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-12,0.007,5.015,5.05,4.99,5.023,6970.0,5.042142857,5.032666667,48.58490566,-0.003001864544,0.1704339971,-0.6437551335,0.2594810379,0.002591449671,-0.008546211213,0.003965898516,0.08532562645,0.1119347074,0,0,0.205,0.4292682927,0.013,0.06,0.05971428571,1492.92,0.008097428063,1462.815333,53.90319841,108.08,0.009482268687,20.03,34.06,33.96,33.04,51.86,55.57,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-13,0.02,5.025,5.05,5.0,5.03,6970.0,5.034571429,5.0354,58.19672131,-0.002708405734,0.1704358499,-0.5843849796,0.1393589488,0.001392619344,0.002591449671,-0.008546211213,0.08286234606,0.1114118917,0,0,0.185,0.5135135135,0.007,0.05,0.0565,1495.84,0.001953988229,1465.323333,64.30349889,108.47,0.0036019434,20.03,62.34,28.25,80.11,50.24,55.25,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-14,0.015,5.03,5.075,5.02,5.05,7700.0,5.036,5.038233333,59.52380952,-0.0008521812453,0.1616206084,-0.4527943916,0.3976143141,0.003968259176,0.001392619344,0.002591449671,0.08358424374,0.1019312854,0,0,0.185,0.6216216216,0.02,0.055,0.05685714286,1509.98,0.009408483745,1467.362333,71.94668717,108.49,0.0001843657822,19.32,64.84,28.11,84.39,49.99,56.05,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-17,0.003,5.055,5.09,5.055,5.065,5060.0,5.037714286,5.041566667,64.34316354,0.001808418354,0.1587343362,-1.046089343,0.297029703,0.002965894413,0.003968259176,0.001392619344,0.08137564803,0.1022618402,1,0,0.185,0.7027027027,0.015,0.035,0.05721428571,1510.49,0.0003376957923,1468.47,69.32884966,108.64,0.001381660976,19.45,56.75,56.57,53.08,48.03,53.62,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-18,-0.04,5.065,5.085,5.055,5.068,10250.0,5.042714286,5.042166667,61.89111748,0.004111641193,0.1539755278,0.1234124021,0.05923000987,0.0005921247582,0.002965894413,0.003968259176,0.02107726243,0.1021054905,1,0,0.185,0.7189189189,0.003,0.03,0.05542857143,1493.74,-0.01115105938,1469.340333,63.95656951,109.36,0.006605528605,19.75,31.97,25.5,31.91,46.09,52.76,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-19,0.012,5.065,5.07,5.02,5.028,6980.0,5.039142857,5.0406,59.66850829,0.00267842101,0.1530065014,-0.6458768905,-0.7892659826,-0.007923971731,0.0005921247582,0.002965894413,0.07505846183,0.1017227348,0,0,0.185,0.5027027027,0.04,0.05,0.05435714286,1481.96,-0.007917506158,1470.144333,58.36415187,109.53,0.00155329192,19.65,63.04,22.85,95.31,50.23,52.62,-1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-20,-0.07,5.03,5.05,5.01,5.04,18820.0,5.043428571,5.038266667,57.43440233,0.002482269346,0.1533919644,2.354751638,0.2386634845,0.002383791355,-0.007923971731,0.0005921247582,0.0763698694,0.1019543194,0,0,0.185,0.5675675676,0.012,0.04,0.05435714286,1495.57,0.009141869124,1470.951333,66.27095827,108.6,-0.008527076836,18.94,65.57,31.38,91.6,50.69,53.17,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-21,0.018,5.035,5.055,4.965,4.97,6280.0,5.035857143,5.033266667,37.20930233,-0.003283744287,0.1533919644,-0.7900516906,-1.388888889,-0.01398624197,0.002383791355,-0.007923971731,0.118325241,0.103684675,0,0,0.185,0.1891891892,0.07,0.09,0.05142857143,1480.19,-0.01033694717,1471.568667,57.68053305,108.41,-0.001751071827,18.94,22.83,17.07,28.47,44.69,51.53,-1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
silver,2000-07-24,0.045,4.98,5.0,4.95,4.988,12850.0,5.029857143,5.029633333,35.90504451,-0.006327957312,0.1511327057,0.8200796,0.3621730382,0.003615187709,-0.01398624197,0.002383791355,0.1205239856,0.1043401908,0,0,0.185,0.2864864865,0.018,0.05,0.05107142857,1464.29,-0.01079997456,1471.813333,48.43330349,108.62,0.001935216933,19.92,57.74,43.17,60.01,47.18,51.88,1,172.7,4.0,6.54,92.8373,4791.3,1103.5,108.3,6.08,1463,237.86,14145.312,-393.867,-31252
