feature,SHAP_2020,SHAP_2021,SHAP_2022,SHAP_2023,SHAP_2024,mean_abs_shap
log_return_lag1,0.0063601312991907735,0.0023184895427849216,0.0014510065262756295,0.0015754012921862569,0.00407969958527004,0.0031569456491415244
log_return,0.0035480414822674326,0.001650254324703686,0.0013335091103907643,0.0019207656642311003,0.0025224588512385254,0.002195005886566302
log_return_lag2,0.0033306436616314084,0.0024148188156045383,0.0007496326718540065,0.0006196696306256749,0.0006357925273768501,0.0015501114614184957
Volume_Zscore,0.003529699919444738,0.0020107442829631356,0.0006448318946753654,0.0006950493964723894,0.0007434469314056006,0.0015247544849922457
SMA_30,0.003849227805490955,0.0005987379757890116,0.0003376591738404358,0.00046358253185279,0.001585854927894919,0.0013670124829736224
Open,0.0025009797533105406,0.002202541324193589,0.00025217600006735135,0.0006035907248571372,0.0006110609445157327,0.0012340697493888704
Fed_Funds_Rate,0.0005456792729934629,0.00013922663051683533,0.0001349022022400419,9.225718468780049e-05,0.005011130319753041,0.0011846391220382362
abs_return,0.0017322249046023142,0.0022031463800027875,0.0002855223406338846,0.00081111583720633,0.000513316736623589,0.001109065239813781
ATR_14,0.0027369929576209983,0.0007614582378748006,0.00037040382308706297,0.0005457366145909646,0.0010705087776311378,0.0010970200821609928
trend_up,0.0017661334276472189,0.0007532734465493529,0.0007649738684199292,0.0010393557182371371,0.0009342563765094383,0.0010515985674726153
BB_Width,0.0018912182216170095,0.0011349428701045098,0.000525744398628376,0.0006029180730132554,0.001003959506911921,0.0010317566140550143
pos_in_range,0.0010849174890160687,0.001044881728130084,0.0005554344410654153,0.0006350017817371357,0.001819056462905659,0.0010278583805708725
Volume,0.0018307493849060847,0.0009877540565722332,0.0006600077408007603,0.0012589982301642521,0.0003535459235700339,0.0010182110672026729
GDP_Quarterly,0.001026216456641426,0.0001800710614076498,0.0003077159681918668,0.0007138372240151512,0.002824086141966594,0.0010103853704445374
DXY_Close,0.00018651179123564148,0.0005058833955129861,0.0009244759339295948,0.00046704451829615817,0.0028536812770180403,0.0009875193831984843
intraday_range,0.0016903513091604528,0.000654581719320125,0.00039694283073509005,0.0011009190135183075,0.0009527903190817142,0.000959117038363138
Unemployment_Rate,0.0009289301505552506,0.0009266284914532056,0.00021867171504161813,0.00027461387613707564,0.0020418033003030966,0.0008781295066980492
SP500_RSI_14,0.0003394467178385305,0.000443556410704313,0.0004309688531523079,0.0007631872751624845,0.002334618031742669,0.0008623554577200608
Low,0.0008597933100466359,0.001331785981989621,0.00016732193990699783,0.0008778375154940174,0.0010474294111788064,0.0008568336317232158
MACD,0.0014306000693761688,0.0010174596745699395,0.00045993650274116444,0.000593440324459569,0.0004520418868696273,0.0007906956916032938
