feature,shap_value
Open,0.0006035907248571372
High,0.0006114018407674043
Close,0.0007050033502990421
Low,0.0008778375154940174
Volume,0.0012589982301642521
SMA_7,0.00047031165213149963
SMA_30,0.00046358253185279
RSI_14,0.0010234778234213687
MACD,0.000593440324459569
BB_Width,0.0006029180730132554
Volume_Zscore,0.0006950493964723894
log_return,0.0019207656642311003
log_return_lag1,0.0015754012921862569
log_return_lag2,0.0006196696306256749
rolling_vol_5,0.00026554583362362413
rolling_vol_20,0.0003301346401077202
abs_return,0.00081111583720633
intraday_range,0.0011009190135183075
ATR_14,0.0005457366145909646
trend_up,0.0010393557182371371
strong_momentum,0.0006299358901083944
pos_in_range,0.0006350017817371357
Fed_Funds_Rate,9.225718468780049e-05
CPI,0.0005182618360461978
Unemployment_Rate,0.00027461387613707564
M2,0.00017285641433669715
M1,0.0003654267132869791
IPI,0.0001957980580258957
Consumer_Sentiment,0.000689330252915776
1Y_Treasury_Rate,0.00017718371510723805
GDP_Quarterly,0.0007138372240151512
Balance_Trade,0.000766820359575225
SP500_Close,0.0002466321348656872
SP500_log_return,0.0003031127610106144
SP500_SMA_30,8.781258613436905e-05
SP500_RSI_14,0.0007631872751624845
DXY_Close,0.00046704451829615817
DXY_Log_Return,0.00014096014968192588
VIX_Close,0.00023422148646047466
GPRD,0.00018877691828431153
GPRD_ACT,0.0002309165578538739
GPRD_THREAT,0.00033652949581086964
GPRD_MA7,0.0001141479713219932
GPRD_MA30,0.00016119207501892182
